Champion,WinRate(%),BanRate(%),PickRate(%)
Briar,53.4,40.4,7.3
Nocturne,53.4,13.3,9.7
Graves,51.3,12.2,11.7
Kayn,51.1,11.0,11.0
Jarvan IV,50.3,12.2,10.3
Lee Sin,49.5,9.7,16.4
Rammus,54.0,10.1,3.0
Ivern,53.5,1.7,2.2
Fiddlesticks,52.8,3.7,3.5
Master Yi,52.3,10.6,5.6
Evelynn,52.1,10.0,4.2
Lillia,51.9,3.0,4.0
Kha'Zix,51.6,5.4,7.4
Shaco,51.5,20.7,5.5
Ekko,51.3,2.8,5.7
Bel'Veth,50.9,6.1,4.2
Vi,50.8,1.4,5.3
Diana,50.7,1.9,4.7
Hecarim,50.7,6.2,5.0
Viego,50.4,1.9,7.2
Trundle,53.1,1.6,1.8
Rek'Sai,51.8,0.9,1.2
Udyr,51.7,1.2,2.2
Maokai,51.6,1.2,3.6
Brand,51.6,3.5,2.0
Shyvana,51.4,0.4,2.1
Talon,51.3,1.8,1.5
Zac,51.3,2.2,3.4
Karthus,51.3,3.0,2.5
Poppy,51.3,3.6,2.8
Amumu,51.2,1.1,2.8
Rengar,51.2,4.2,3.0
Xin Zhao,51.1,0.2,1.9
Jax,51.1,18.7,1.6
Taliyah,51.1,2.6,3.3
Kindred,50.9,1.7,2.4
Warwick,50.9,1.3,2.3
Nunu & Willump,50.5,0.5,2.4
Elise,49.8,1.4,1.9
Nidalee,49.6,3.0,3.2
Sejuani,49.5,0.3,2.6
Sylas,49.5,19.3,3.0
Gragas,48.8,0.7,2.3
Wukong,48.4,0.4,1.9
