Ban,Pick,Outcome
"['Jax', 'LeBlanc', 'Varus', 'Nocturne', 'Sejuani']","['Poppy', 'Maokai', 'Jayce', 'Aphelios', 'Alistar']",1
"['Renekton', 'Kaisa', 'Rell', 'Milio', 'Ornn']","['KSante', 'Wukong', 'Neeko', 'Xayah', 'Rakan']",0
"['Maokai', 'Kaisa', 'Azir', 'Jax', 'Milio']","['Poppy', 'Sejuani', 'Annie', 'Varus', 'Alistar']",0
"['Rakan', 'Xayah', 'Jayce', 'Nautilus', 'Renekton']","['KSante', 'Rell', 'LeBlanc', 'Tristana', 'Leona']",1
"['Jax', 'LeBlanc', 'Rakan', 'KSante', 'Gnar']","['Gragas', 'Rell', 'Tristana', 'Aphelios', 'Alistar']",0
"['Kaisa', 'Jayce', 'Sejuani', 'Ornn', 'Milio']","['Renekton', 'Maokai', 'Azir', 'Xayah', 'Nautilus']",1
"['Maokai', 'LeBlanc', 'Azir', 'Varus', 'Ziggs']","['Gragas', 'Wukong', 'Ahri', 'Xayah', 'Braum']",1
"['Kaisa', 'Jayce', 'Rakan', 'Vi', 'Milio']","['KSante', 'Sejuani', 'Tristana', 'Jinx', 'Nautilus']",0
"['LeBlanc', 'Maokai', 'Tristana', 'Leona', 'Trundle']","['Renekton', 'Sejuani', 'Neeko', 'Xayah', 'Alistar']",1
"['Rakan', 'Ahri', 'Kaisa', 'Ornn', 'Nautilus']","['KSante', 'Lillia', 'Jayce', 'Ziggs', 'Rell']",0
"['Rakan', 'Jax', 'Annie', 'Kindred', 'Lee Sin']","['Renekton', 'Maokai', 'Azir', 'Aphelios', 'Rell']",0
"['Jayce', 'Kaisa', 'Tristana', 'Sivir', 'Varus']","['KSante', 'Sejuani', 'LeBlanc', 'Xayah', 'Alistar']",1
"['Rakan', 'Jax', 'Renekton', 'Sejuani', 'Kindred']","['Gnar', 'Maokai', 'Azir', 'Xayah', 'Nautilus']",1
"['Jayce', 'Kaisa', 'Tristana', 'Fiora', 'Camille']","['KSante', 'KhaZix', 'LeBlanc', 'Aphelios', 'Braum']",0
"['Jax', 'Renekton', 'Sejuani', 'Rakan', 'Alistar']","['Gnar', 'Maokai', 'LeBlanc', 'Kaisa', 'Leona']",1
"['Tristana', 'Azir', 'Neeko', 'Nautilus', 'Rell']","['KSante', 'Nidalee', 'Jayce', 'Xayah', 'Blitzcrank']",0
"['Rakan', 'Jax', 'Renekton', 'Gwen', 'Aphelios']","['KSante', 'Maokai', 'Tristana', 'Xayah', 'Leona']",1
"['Jayce', 'Kaisa', 'LeBlanc', 'Alistar', 'Nautilus']","['Fiora', 'Sejuani', 'Azir', 'Ezreal', 'Rell']",0
"['Jax', 'Neeko', 'Annie', 'Aphelios', 'Rell']","['Gragas', 'LeeSin', 'LeBlanc', 'Xayah', 'Braum']",1
"['Kaisa', 'Rakan', 'Maokai', 'Viego', 'Alistar']","['Renekton', 'Sejuani', 'Azir', 'Ezreal', 'Nautilus']",0
"['Neeko', 'Jax', 'LeBlanc', 'Azir', 'Gnar']","['Ornn', 'Sejuani', 'Jayce', 'Varus', 'Rakan']",1
"['Xayah', 'Tristana', 'Renekton', 'Ezreal', 'Ziggs']","['KSante', 'Maokai', 'Ahri', 'Kaisa', 'Rell']",0
"['Jax', 'Neeko', 'Annie', 'Tristana', 'Nautilus']","['Gnar', 'Sejuani', 'Jayce', 'Xayah', 'Braum']",1
"['Renekton', 'LeBlanc', 'Rakan', 'Gragas', 'Kennen']","['Gwen', 'Maokai', 'Azir', 'Kaisa', 'Alistar']",0
"['Jax', 'Azir', 'Tristana', 'Nocturne', 'Vi']","['Gnar', 'Sejuani', 'Jayce', 'Varus', 'Nautilus']",0
"['LeBlanc', 'Maokai', 'Poppy', 'Renekton', 'Rumble']","['Gwen', 'Wukong', 'Neeko', 'Kaisa', 'Rell']",1
"['Jax', 'Azir', 'Tristana', 'Nocturne', 'Vi']","['Renekton', 'Sejuani', 'Jayce', 'Varus', 'Braum']",0
"['LeBlanc', 'Maokai', 'Poppy', 'Xayah', 'Draven']","['KSante', 'Rell', 'Neeko', 'Kaisa', 'Nautilus']",1
"['Jax', 'Xayah', 'Tristana', 'Varus', 'Ziggs']","['Renekton', 'Sejuani', 'Azir', 'Sivir', 'Milio']",1
"['LeBlanc', 'Maokai', 'Kaisa', 'Draven', 'Nautilus']","['KSante', 'Rell', 'Jayce', 'Jinx', 'Rakan']",0
"['Jax', 'Kaisa', 'Sejuani', 'Leona', 'Poppy']","['Gnar', 'Nocturne', 'Ahri', 'Varus', 'Rell']",0
"['LeBlanc', 'Maokai', 'Azir', 'Vi', 'Lee Sin']","['Renekton', 'Trundle', 'Jayce', 'Ziggs', 'Alistar']",1
"['Jax', 'Azir', 'Maokai', 'Lee Sin', 'Vi']","['Kennen', 'Poppy', 'Jayce', 'Ezreal', 'Rell']",0
"['Kaisa', 'Rakan', 'Renekton', 'Xayah', 'Lillia']","['Gwen', 'Sejuani', 'LeBlanc', 'Tristana', 'Nautilus']",1
"['Jax', 'Jayce', 'Poppy', 'Gnar', 'Alistar']","['Ornn', 'Ivern', 'Tristana', 'Xayah', 'Rell']",1
"['Kaisa', 'Rakan', 'Renekton', 'Lillia', 'Sejuani']","['Fiora', 'Maokai', 'Azir', 'Varus', 'Nautilus']",0
"['Kaisa', 'Maokai', 'Sejuani', 'Nocturne', 'Alistar']","['Gragas', 'Rell', 'Jayce', 'Aphelios', 'Milio']",1
"['Rakan', 'LeBlanc', 'Xayah', 'Ornn', 'Lillia']","['Jax', 'LeeSin', 'Annie', 'Tristana', 'Nautilus']",0
"['LeBlanc', 'Sejuani', 'Jax', 'Gnar', 'KSante']","['Renekton', 'Neeko', 'Tristana', 'Zeri', 'Rell']",0
"['Kaisa', 'Rakan', 'Jayce', 'Lillia', 'Ivern']","['Fiora', 'Maokai', 'Azir', 'Xayah', 'Nautilus']",1
"['Kaisa', 'Maokai', 'Azir', 'Jax', 'Gwen']","['Renekton', 'Sejuani', 'Ahri', 'Sivir', 'Rakan']",1
"['Rell', 'LeBlanc', 'Jayce', 'Sylas', 'Belveth']","['Rumble', 'Poppy', 'Tristana', 'Xayah', 'Nautilus']",0
"['LeBlanc', 'Maokai', 'Varus', 'Poppy', 'Sejuani']","['Renekton', 'Nidalee', 'Neeko', 'Ezreal', 'Rell']",1
"['Rakan', 'Jayce', 'Kaisa', 'Kindred', 'KhaZix']","['Jax', 'LeeSin', 'Azir', 'Xayah', 'Nautilus']",0
"['LeBlanc', 'Maokai', 'Kaisa', 'Rumble', 'Alistar']","['Renekton', 'LeeSin', 'Annie', 'Aphelios', 'Rell']",0
"['Rakan', 'Jax', 'Neeko', 'Kindred', 'Nidalee']","['KSante', 'Sejuani', 'Jayce', 'Varus', 'Nautilus']",1
"['LeBlanc', 'Varus', 'Jayce', 'Ziggs', 'Rell']","['Jax', 'Sejuani', 'Azir', 'Xayah', 'Braum']",1
