Ban,Pick,Outcome
"['Jax', 'LeBlanc', 'Nidalee', 'Nautilus', 'Thresh']","['KSante', 'Wukong', 'Annie', 'Zeri', 'Lulu']",0
"['Lee Sin', 'Elise', 'Vi', 'Syndra', 'Gnar']","['Renekton', 'Viego', 'Gragas', 'Jinx', 'Blitzcrank']",1
"['Nidalee', 'Viego', 'Blitzcrank', 'Jax', 'Zeri']","['Gnar', 'Sejuani', 'LeBlanc', 'Xayah', 'RenataGlasc']",1
"['Lee Sin', 'Elise', 'Syndra', 'Nautilus', 'Leona']","['Renekton', 'Vi', 'Ahri', 'Twitch', 'Rakan']",0
"['Nidalee', 'Viego', 'Jax', 'Renekton', 'Twitch']","['Gnar', 'Sejuani', 'Vex', 'Xayah', 'Nautilus']",1
"['Lee Sin', 'Elise', 'Kennen', 'Syndra', 'Lissandra']","['KSante', 'Vi', 'LeBlanc', 'Kaisa', 'Rakan']",0
"['Tristana', 'Sejuani', 'Xayah', 'KSante', 'Sylas']","['Malphite', 'XinZhao', 'Syndra', 'Zeri', 'Lulu']",0
"['LeBlanc', 'Lee Sin', 'Vi', 'Renekton', 'Jax']","['Kennen', 'Wukong', 'Akali', 'Aphelios', 'Rakan']",1
"['Tristana', 'Sejuani', 'Vi', 'Kennen', 'KSante']","['Jax', 'Wukong', 'Ahri', 'Zeri', 'Annie']",0
"['LeBlanc', 'Lee Sin', 'Lulu', 'Renata Glasc', 'Akali']","['Gragas', 'XinZhao', 'AurelionSol', 'Aphelios', 'Rakan']",1
"['Jax', 'Ahri', 'Xayah', 'Thresh', 'KSante']","['Rumble', 'LeeSin', 'LeBlanc', 'Zeri', 'Nautilus']",0
"['Cassiopeia', 'Lucian', 'Vi', 'Gnar', 'Sion']","['Gragas', 'Maokai', 'Tristana', 'Aphelios', 'Lulu']",1
"['Vi', 'Tristana', 'Xayah', 'Yone', 'Renata Glasc']","['Gragas', 'LeeSin', 'Sylas', 'Zeri', 'Nautilus']",1
"['Cassiopeia', 'LeBlanc', 'Lucian', 'Lulu', 'Sion']","['Jax', 'Maokai', 'Akali', 'Aphelios', 'Thresh']",0
"['Xayah', 'Tristana', 'Maokai', 'Ahri', 'Galio']","['Renekton', 'LeeSin', 'Ryze', 'Zeri', 'Rakan']",1
"['Cassiopeia', 'Lucian', 'Vi', 'Gnar', 'Sion']","['KSante', 'Viego', 'Syndra', 'Aphelios', 'Nautilus']",0
"['Xin Zhao', 'Rakan', 'Zeri', 'Ahri', 'Jax']","['KSante', 'LeeSin', 'Annie', 'Aphelios', 'RenataGlasc']",1
"['Elise', 'LeBlanc', 'Lucian', 'Syndra', 'Kennen']","['Gragas', 'Vi', 'Akali', 'Xayah', 'Ashe']",0
"['Xin Zhao', 'Rakan', 'Zeri', 'Kennen', 'Lissandra']","['KSante', 'LeeSin', 'Syndra', 'Aphelios', 'Annie']",1
"['Elise', 'LeBlanc', 'Lucian', 'Renata Glasc', 'Thresh']","['Gnar', 'Viego', 'Taliyah', 'Jinx', 'Nautilus']",0
"['Akali', 'Yone', 'Tristana', 'Wukong', 'Sejuani']","['Gnar', 'Vi', 'LeBlanc', 'Jinx', 'Thresh']",1
"['Kindred', 'Galio', 'Zeri', 'Jayce', 'Taliyah']","['Kennen', 'XinZhao', 'Sylas', 'Xayah', 'Rakan']",0
"['Yone', 'Tristana', 'Vi', 'Kennen', 'KSante']","['Jax', 'Sejuani', 'Ryze', 'Zeri', 'Blitzcrank']",0
"['Kindred', 'Galio', 'LeBlanc', 'Lulu', 'Taliyah']","['Rumble', 'Wukong', 'Sylas', 'Aphelios', 'Thresh']",1
"['Yone', 'Tristana', 'Akali', 'Blitzcrank', 'Rumble']","['Kennen', 'XinZhao', 'Sylas', 'Jinx', 'Thresh']",0
"['Kindred', 'LeBlanc', 'Vi', 'Sejuani', 'Wukong']","['Viktor', 'LeeSin', 'Vex', 'Aphelios', 'Nautilus']",1
"['Lee Sin', 'Jayce', 'LeBlanc', 'Thresh', 'Chogath']","['Jax', 'Sejuani', 'Veigar', 'Xayah', 'Rakan']",0
"['KSante', 'Vi', 'Renekton', 'Lucian', 'Yone']","['Kennen', 'Elise', 'Tristana', 'Aphelios', 'RenataGlasc']",1
"['Lee Sin', 'Jayce', 'Lulu', 'Malphite', 'Renekton']","['Kennen', 'Wukong', 'Veigar', 'Zeri', 'Rakan']",0
"['KSante', 'Sejuani', 'Tristana', 'Lucian', 'Tahm Kench']","['Chogath', 'Vi', 'LeBlanc', 'Xayah', 'RenataGlasc']",1
"['Sejuani', 'Maokai', 'Aphelios', 'Nautilus', 'Jax']","['KSante', 'Vi', 'Taliyah', 'Lucian', 'Nami']",1
