Ban,Pick,Outcome
"['Zeri', 'Vi', 'KSante', 'Malphite', 'Kennen']","['Jayce', 'Sejuani', 'Veigar', 'Varus', 'Nautilus']",0
"['Annie', 'Lucian', 'Elise', 'Tahm Kench', 'Lissandra']","['Gragas', 'Wukong', 'Ahri', 'Xayah', 'Rakan']",1
"['Zeri', 'Vi', 'Rakan', 'Blitzcrank', 'Malphite']","['Kennen', 'Viego', 'KSante', 'Caitlyn', 'Lux']",0
"['Annie', 'Lucian', 'Elise', 'Sejuani', 'Lissandra']","['Gragas', 'Wukong', 'Ahri', 'Aphelios', 'Nautilus']",1
"['Zeri', 'Ahri', 'KSante', 'Yone', 'Gragas']","['Sion', 'Wukong', 'Veigar', 'Jinx', 'TahmKench']",1
"['Annie', 'Lucian', 'Elise', 'Jayce', 'Kennen']","['Gnar', 'Sejuani', 'Lissandra', 'Xayah', 'Rakan']",0
"['Annie', 'Zeri', 'Wukong', 'Tahm Kench', 'Blitzcrank']","['Sion', 'LeeSin', 'Ahri', 'Aphelios', 'Braum']",0
"['Lucian', 'Vi', 'Caitlyn', 'Malphite', 'Thresh']","['KSante', 'Maokai', 'Tristana', 'Jinx', 'Lulu']",1
"['Malphite', 'Varus', 'Sejuani', 'Kennen', 'Veigar']","['Jayce', 'Viego', 'Lissandra', 'Aphelios', 'TahmKench']",0
"['Annie', 'Zeri', 'KSante', 'Maokai', 'Wukong']","['Sion', 'Vi', 'Ahri', 'Xayah', 'Rakan']",1
"['Sejuani', 'Varus', 'Vi', 'Lissandra', 'Veigar']","['Ornn', 'Wukong', 'Ahri', 'Aphelios', 'TahmKench']",1
"['Annie', 'Zeri', 'KSante', 'Thresh', 'Renata Glasc']","['Malphite', 'Viego', 'TwistedFate', 'Xayah', 'Rakan']",0
"['Annie', 'Zeri', 'Varus', 'Veigar', 'LeBlanc']","['Gnar', 'Elise', 'KSante', 'Aphelios', 'Thresh']",1
"['Maokai', 'Vi', 'Ahri', 'Nautilus', 'Tristana']","['Renekton', 'Sejuani', 'Taliyah', 'Ezreal', 'Karma']",0
"['Annie', 'Zeri', 'Sejuani', 'Veigar', 'Kennen']","['Gragas', 'Wukong', 'Lissandra', 'Xayah', 'Rakan']",1
"['Ahri', 'KSante', 'Aphelios', 'LeBlanc', 'Sylas']","['Jax', 'Vi', 'TwistedFate', 'Varus', 'Nautilus']",0
"['Caitlyn', 'Varus', 'Maokai', 'Ahri', 'Gnar']","['Sion', 'Viego', 'Veigar', 'Zeri', 'Lulu']",1
"['Sejuani', 'Annie', 'Renekton', 'Lissandra', 'Malphite']","['Gragas', 'Vi', 'LeBlanc', 'Xayah', 'Rakan']",0
"['Annie', 'Varus', 'Sejuani', 'Lulu', 'Nautilus']","['Ryze', 'Wukong', 'Ahri', 'Draven', 'Rakan']",1
"['Vi', 'Viego', 'Renekton', 'Malphite', 'Lissandra']","['Gragas', 'Maokai', 'Yone', 'Zeri', 'Zilean']",0
"['Annie', 'Varus', 'Sejuani', 'Lulu', 'Jayce']","['Gwen', 'Wukong', 'Taliyah', 'Draven', 'Rakan']",0
"['Vi', 'Viego', 'Malphite', 'Renekton', 'Jax']","['KSante', 'Maokai', 'Tristana', 'Zeri', 'RenataGlasc']",1
"['Caitlyn', 'Varus', 'Maokai', 'Renata Glasc', 'Sylas']","['Malphite', 'Viego', 'Veigar', 'Xayah', 'Rakan']",1
"['Sejuani', 'Annie', 'Lulu', 'Lissandra', 'Renekton']","['Ornn', 'Vi', 'Ahri', 'Zeri', 'Zilean']",0
"['Vi', 'Zeri', 'KSante', 'Ahri', 'Malphite']","['Jayce', 'Sejuani', 'Lissandra', 'Varus', 'Braum']",1
