Champion,WinRate(%),BanRate(%),PickRate(%)
Zyra,53.6,7.0,6.0
Janna,52.9,1.3,6.1
Xerath,52.6,13.3,6.0
Blitzcrank,52.2,29.3,7.8
Morgana,52.2,23.4,6.1
Rakan,52.1,4.8,10.0
Senna,51.7,13.4,13.0
Pyke,51.2,10.8,6.5
Lux,51.0,7.8,9.9
Thresh,50.7,4.9,12.6
Nautilus,49.8,16.3,9.3
Maokai,53.4,1.2,1.9
Sona,52.9,0.1,2.3
Taric,52.9,0.2,1.3
Soraka,52.7,2.2,5.3
Zilean,52.4,0.7,2.4
Renata Glasc,52.1,1.7,5.8
Brand,51.8,3.5,3.8
Neeko,51.3,4.6,2.2
Milio,51.3,2.0,4.9
Bard,51.3,0.8,5.3
Nami,51.2,0.3,5.7
Sylas,51.2,19.3,0.8
Shaco,51.2,20.7,1.6
Alistar,50.8,2.1,4.6
Swain,50.4,2.4,3.2
Rell,50.2,3.7,4.0
Leona,50.2,3.4,4.6
Lulu,49.3,4.9,6.8
Karma,49.0,1.3,5.4
Ashe,48.6,6.9,5.0
Vel'Koz,51.3,0.4,2.3
Heimerdinger,51.1,0.9,1.1
Braum,50.7,0.5,2.5
Seraphine,50.2,0.7,3.0
Twitch,50.2,4.0,0.9
Tahm Kench,49.9,2.3,1.0
Pantheon,48.9,3.2,1.6
Yuumi,48.4,4.7,4.1
